Test Name,PFE_1
Engineer,
Location,
Test Info,


Time,Elapsed Time,1TC1,1TC2,1TC3,1TC4,1TC5,1TC6,1TC7,1TC8,1TC9,2TC1,2TC2,2TC3,2TC4,2TC5,2TC6,2TC7,2TC8,2TC9,3TC1,3TC2,3TC3,3TC4,3TC5,3TC6,3TC7,3TC8,3TC9,4TC1,4TC2,4TC3,4TC4,Ambient,1GASCO,1GASCO2,1GASO2,2GASCO,2GASCO2,2GASO2,3GASCO,3GASCO2,3GASO2,4GASCO,4GASCO2,4GASO2,WEA_DIR,WEA_VEL,1PT1V,1PT2V,1PT3V,2PT1V,2PT2V,2PT3V,Event
2021-10-22 10:27:14,00:07:04,334.927734,359.802765,355.105743,346.839569,354.566223,347.275208,341.101746,283.783905,98.901039,437.328522,470.017822,471.455292,456.173523,434.251862,407.981079,365.993164,320.484344,174.651382,537.639038,593.611328,603.572388,602.224915,598.322449,592.170288,554.316162,427.323883,153.721954,842.209839,885.653381,874.479614,883.942810,22.284269,1.364622,1.150242,2.876867,3.601124,2.416240,1.359471,1.864840,0.829961,3.250261,4.294803,1.975571,1.852930,9.605147,2.030292,2.782552,2.652508,2.483193,2.807660,2.645104,2.566885,
2021-10-22 10:27:15,00:07:05,333.224854,359.153015,354.990845,342.302582,354.089203,347.367310,341.622284,281.740173,96.410011,433.292236,465.057861,462.689178,451.714111,433.305756,407.269623,362.095337,313.013031,174.079620,538.487122,595.241089,604.624390,607.291260,597.316711,584.905823,550.643188,426.505554,151.957077,837.877563,884.185364,871.306580,883.221252,22.146200,1.347561,1.150886,2.872360,3.642004,2.412699,1.359793,1.911192,0.839940,3.244145,4.328601,1.979433,1.848102,8.811015,2.006472,2.740062,2.632229,2.514738,2.798003,2.630297,2.560447,
2021-10-22 10:27:16,00:07:06,332.526672,358.423309,352.569641,337.992920,352.799042,348.403839,341.247131,286.714752,95.605545,421.208160,453.396790,453.721558,443.145294,432.074310,404.445160,361.130127,315.765717,173.948654,532.854248,585.218445,592.086670,594.138245,589.681946,576.095703,541.758972,415.021790,149.922913,832.552124,880.795349,867.361389,881.309326,22.044584,1.316982,1.140586,2.873970,3.679666,2.408836,1.357862,1.947244,0.859897,3.227085,4.364010,1.978468,1.851642,7.940275,2.033511,2.719783,2.600683,2.486090,2.761951,2.616778,2.488021,
2021-10-22 10:27:17,00:07:07,341.841736,361.883789,351.124786,334.411285,347.023041,346.498260,340.212830,288.191895,93.570030,413.449524,448.862793,449.254303,436.822906,425.729797,401.059692,363.200043,315.258636,175.151428,533.682434,593.431335,601.531616,599.275635,592.059998,577.381165,537.012573,411.119080,151.186172,830.699829,881.163757,866.151001,881.054382,21.962927,1.286402,1.119341,2.883304,3.720224,2.404652,1.360759,1.957223,0.871163,3.212922,4.393946,1.976858,1.852286,7.303881,2.030614,2.713989,2.595533,2.453579,2.762273,2.593602,2.475790,
2021-10-22 10:27:18,00:07:08,339.609711,365.343170,353.653381,336.801697,349.842804,346.549561,340.718597,284.938171,91.578316,416.774017,445.501678,447.109253,437.792389,424.902100,400.521790,364.980072,319.482788,177.677139,541.140381,601.280273,608.242187,606.783020,598.455261,582.808594,537.840759,411.737854,153.480804,828.201416,875.755676,861.269653,877.601257,21.954309,1.275136,1.085220,2.892639,3.762070,2.402398,1.362046,1.962373,0.877279,3.198758,4.419697,1.974605,1.853574,7.147439,2.040915,2.771286,2.653152,2.516992,2.801866,2.659590,2.571069,
2021-10-22 10:27:19,00:07:09,336.831390,362.782379,351.580902,334.963501,347.826904,344.714172,338.281525,282.092621,90.122360,423.330688,460.096161,457.142120,443.207825,428.188629,405.630646,369.522064,327.403503,181.942841,545.286560,603.263184,613.480225,608.907837,597.571777,583.881226,539.084412,403.959259,154.738144,821.994751,868.662598,855.187927,871.220886,22.002232,1.295093,1.054963,2.909056,3.810032,2.402720,1.359471,1.963339,0.878245,3.186205,4.444483,1.971064,1.851964,7.685009,2.062159,2.772895,2.648967,2.490275,2.799613,2.615812,2.543387,
2021-10-22 10:27:20,00:07:10,334.665985,363.800079,352.139771,334.157928,350.130341,348.283691,342.876648,286.500183,89.634491,425.009064,457.428497,460.507446,446.648926,427.892609,404.128296,371.418762,327.849396,181.774887,541.278198,604.570496,616.272278,612.362061,599.885925,583.646301,540.780273,412.169464,153.465347,819.738525,865.492493,850.993103,866.401367,22.142776,1.346274,1.042731,2.922897,3.858960,2.400145,1.360115,1.964948,0.876635,3.184595,4.467016,1.973317,1.850033,8.561864,2.077932,2.751007,2.629332,2.477721,2.776758,2.620641,2.477721,
2021-10-22 10:27:21,00:07:11,340.172058,365.749451,353.821991,333.761780,350.162964,348.178864,343.905914,289.311462,88.281876,431.181641,462.343689,457.823975,442.815399,426.009857,406.019318,372.394501,327.382294,180.286423,550.554810,611.312561,621.575562,616.632080,602.287781,584.798706,544.885315,422.935577,152.793716,816.120667,860.117859,848.254517,862.362976,22.283688,1.415802,1.044984,2.927403,3.900806,2.396926,1.363656,1.953682,0.873738,3.183630,4.490514,1.975249,1.847458,9.269725,2.084692,2.716243,2.599718,2.461304,2.747788,2.587164,2.424609,
2021-10-22 10:27:22,00:07:12,338.489655,372.785095,358.643768,338.920288,348.994232,344.616150,341.029266,290.259918,88.058586,426.974792,457.440765,459.160461,441.439545,423.956207,404.886108,373.559570,331.359375,182.538635,552.064453,615.413574,621.650879,617.176331,604.417725,586.757263,540.980103,421.698730,153.086884,811.978638,853.705933,842.648682,857.599182,22.407257,1.489837,1.055928,2.925794,3.943618,2.395317,1.363334,1.927609,0.873095,3.181054,4.505643,1.976214,1.846492,9.484112,2.075357,2.704333,2.587808,2.439094,2.738775,2.603902,2.426862,
2021-10-22 10:27:23,00:07:13,338.573364,365.569397,356.246735,340.347107,348.920319,342.899445,338.921356,291.916199,92.600990,429.357605,458.865875,453.434601,436.809937,423.290100,404.133514,370.235596,331.631592,184.085602,553.453064,618.744690,626.661011,622.824585,608.771545,589.631226,544.050903,433.306030,155.424194,805.870972,846.375427,835.320374,851.851501,22.438980,1.543271,1.084577,2.920966,3.977416,2.393064,1.361403,1.907973,0.869876,3.181698,4.528497,1.975571,1.846814,9.562978,2.072782,2.824398,2.693710,2.507013,2.848540,2.715921,2.654761,
2021-10-22 10:27:24,00:07:14,341.402954,363.806152,352.724152,336.427399,346.941101,342.346558,339.806488,292.579529,93.817802,436.323425,472.015991,473.634552,452.213318,428.083954,407.289551,374.837433,337.865509,201.680237,559.414795,625.096436,630.005371,625.194275,614.048340,598.110107,554.846558,446.826355,179.037033,784.689331,820.735901,810.342102,828.729370,22.574125,1.578035,1.112259,2.914528,4.005421,2.395317,1.360759,1.902501,0.862794,3.175582,4.549098,1.974927,1.844239,9.468660,2.055399,2.725899,2.588773,2.464523,2.761951,2.639954,2.481262,
2021-10-22 10:27:25,00:07:15,339.917816,363.387604,350.838165,340.323029,349.432312,344.366486,342.071228,295.720276,101.827736,436.183838,472.699280,475.466766,465.250488,440.922211,411.534454,378.210510,341.415771,202.156265,572.286438,632.158508,637.670288,634.213806,622.216919,602.735168,560.060547,459.231049,235.248901,772.104431,810.151611,800.398804,815.837769,22.745497,1.583829,1.132860,2.901974,4.040185,2.396604,1.358184,1.895742,0.854103,3.180089,4.575172,1.972674,1.848745,8.784941,2.059262,2.805085,2.657658,2.486090,2.826973,2.702079,2.582014,
2021-10-22 10:27:26,00:07:16,339.336884,363.333588,352.186462,346.201324,358.872253,356.350922,351.179687,300.916321,108.568474,441.552521,479.953735,482.507202,466.752411,444.770508,415.653503,380.643219,341.863129,215.563477,575.867126,634.854248,640.824158,637.600525,626.463257,609.938782,564.005005,465.093903,217.103943,757.083130,791.644348,783.602478,797.239014,22.908356,1.586726,1.134148,2.894892,4.068512,2.398535,1.353034,1.904111,0.854425,3.182342,4.604142,1.970742,1.848102,7.587152,2.087911,2.685019,2.555297,2.415274,2.711736,2.574288,2.349608,
2021-10-22 10:27:27,00:07:17,339.962311,370.177673,358.832550,348.849274,359.424011,359.210388,356.987183,309.688477,119.975304,438.575378,478.192749,483.693085,471.562286,454.380920,422.316589,385.092346,348.570801,239.009583,582.233398,644.686096,653.333984,646.475769,632.617676,614.681946,567.294861,472.533386,212.883987,743.776245,776.521301,769.030151,783.025879,23.052296,1.611190,1.137045,2.887489,4.097482,2.401433,1.347561,1.939197,0.846056,3.186205,4.639551,1.971386,1.848102,6.797858,2.120422,2.584267,2.469030,2.352827,2.620963,2.489953,2.160658,
2021-10-22 10:27:28,00:07:18,338.518280,367.466736,360.804962,350.754669,365.320221,366.332397,363.453064,315.622314,130.383392,438.472473,477.466644,482.435577,471.182465,453.643433,425.937073,387.653992,353.739471,255.488174,593.278564,646.283569,649.947571,642.220459,626.700073,608.117310,564.853088,478.088501,194.748245,732.817383,763.055359,760.083984,768.937927,22.988344,1.661727,1.140586,2.878476,4.130959,2.401111,1.344664,1.985227,0.843481,3.188458,4.670131,1.972674,1.847136,7.290683,2.145207,2.809913,2.690169,2.516670,2.846609,2.660233,2.598108,
