Test Name,srthsht
Engineer,
Location,
Test Info,


Time,Elapsed Time,1GASCO,1GASCO2,1GASO2,2GASCO,2GASCO2,2GASO2,3GASCO,3GASCO2,3GASO2,4GASCO,4GASCO2,4GASO2,Event
2021-10-21 12:35:57,00:00:15,0.001415,0.000772,4.221733,0.003991,0.002703,4.237184,0.003347,0.001415,4.224630,0.005600,0.001415,4.238793,
2021-10-21 12:35:57,00:00:15,0.001094,0.000772,4.221733,0.001415,0.003991,4.237828,0.003347,0.002059,4.223664,0.002059,0.003991,4.241046,
2021-10-21 12:35:57,00:00:15,0.000128,0.003025,4.225274,0.001415,0.003991,4.239115,0.004956,-0.002125,4.229136,0.001737,0.003347,4.239759,
2021-10-21 12:35:57,00:00:15,0.000450,0.003347,4.224952,0.004312,0.001415,4.238793,0.010750,-0.005022,4.226240,0.001415,0.003025,4.239115,
2021-10-21 12:35:58,00:00:15,-0.000838,0.004956,4.222055,0.006888,0.001094,4.239759,0.003991,0.000128,4.226562,-0.000516,0.005278,4.236862,
2021-10-21 12:35:58,00:00:16,0.001094,0.004634,4.223986,0.005278,-0.000516,4.242656,0.001415,0.001415,4.223342,0.000450,0.006888,4.240403,
2021-10-21 12:35:58,00:00:16,0.002059,0.003025,4.219802,0.005278,-0.001803,4.243622,0.000450,0.003669,4.224308,0.003025,0.000772,4.239759,
2021-10-21 12:35:58,00:00:16,0.002059,0.000772,4.220446,0.003347,0.000128,4.242978,-0.000194,0.005600,4.221089,0.005922,0.002059,4.240403,
2021-10-21 12:35:58,00:00:16,0.003991,-0.000194,4.221733,0.003991,0.002059,4.241368,-0.001482,0.008175,4.220124,0.004956,-0.002125,4.243622,
2021-10-21 12:35:59,00:00:16,0.004634,-0.000516,4.225918,0.000772,0.002381,4.241368,0.000128,0.006566,4.219480,0.007210,-0.002125,4.243622,
2021-10-21 12:35:59,00:00:17,0.003991,-0.000194,4.227849,0.000772,0.004634,4.235252,0.002059,0.002059,4.221411,0.004956,-0.000516,4.243622,
2021-10-21 12:35:59,00:00:17,0.002703,0.000450,4.224308,0.000772,0.004634,4.234287,0.003669,0.000128,4.223342,0.005922,0.000128,4.241691,
2021-10-21 12:35:59,00:00:17,0.000772,0.001415,4.223021,0.001094,0.004312,4.234609,0.007210,-0.002769,4.226240,-0.000194,0.003025,4.242013,
2021-10-21 12:35:59,00:00:17,0.000128,0.002381,4.224308,0.001737,0.003025,4.238150,0.006566,-0.003413,4.230424,0.000772,0.002381,4.237184,
2021-10-21 12:36:00,00:00:17,0.001737,0.003025,4.226883,0.003669,0.002059,4.242656,0.004956,0.001737,4.225274,0.001415,0.003347,4.237828,
2021-10-21 12:36:00,00:00:18,-0.000194,0.005922,4.225918,0.004634,0.000772,4.240081,0.003991,-0.000838,4.229780,-0.000194,0.005278,4.235252,
2021-10-21 12:36:00,00:00:18,-0.000516,0.005600,4.223986,0.005922,-0.001482,4.242978,0.003669,0.002059,4.226883,-0.000194,0.007853,4.237828,
